,,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,Grand Total
,,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Total
Legal Town,Utility,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,Subtotal
Ridgefield,Eversource,,1,13,14,5,,29,34,,,39,39,1,,36,37,8,9,62,,79,24,4,84,,112,125,11,64,,200,515
Rocky Hill,Eversource,,,19,19,1,,13,14,,,13,13,1,,20,21,3,,48,,51,4,,35,,39,43,,21,,64,221
Roxbury,Eversource,,1,4,5,,,3,3,,,8,8,1,1,10,12,,1,14,,15,5,,20,,25,24,4,25,,53,121
Salem,Eversource,,,4,4,,,27,27,3,,13,16,,,21,21,2,4,29,,35,2,2,23,,27,12,5,16,,33,163
Salisbury,Eversource,,,1,1,,,4,4,,,8,8,,,14,14,1,3,19,,23,,,34,,34,30,8,23,1,62,146
Scotland,Eversource,,,,,,,2,2,,,2,2,1,,5,6,,,8,,8,,,9,,9,4,,2,,6,33
Seymour,Eversource,,,8,8,,,10,10,,,10,10,,,23,23,2,1,28,,31,9,,42,,51,34,2,24,,60,193
Sharon,Eversource,,,2,2,,,2,2,,,5,5,,,10,10,1,,12,,13,2,2,12,,16,11,3,9,,23,71
Shelton,UI,,,,,,,7,7,,,65,65,,,40,40,,,77,,77,14,,85,,99,128,,62,,190,478
Sherman,Eversource,1,1,7,9,1,,7,8,,,11,11,,,13,13,,,19,,19,2,,37,,39,34,1,17,,52,151
Simsbury,Eversource,,2,14,16,1,,42,43,,1,52,53,2,1,41,44,7,1,115,,123,15,35,86,,136,83,4,67,,154,569
Somers,Eversource,,,6,6,,,17,17,1,,24,25,,,25,25,1,,30,,31,12,,27,,39,22,,25,,47,190
South Windsor,Eversource,,,17,17,2,,44,46,,,36,36,1,,56,57,15,1,79,,95,9,3,85,,97,85,1,79,,165,513
Southbury,Eversource,6,1,22,29,1,,19,20,1,,22,23,1,,43,44,31,9,65,,105,51,7,84,,142,128,6,42,3,179,542
Southington,Eversource,1,1,29,31,2,,30,32,1,,45,46,1,2,63,66,7,,108,,115,17,1,165,,183,98,3,102,1,204,677
Sprague,Eversource,,,7,7,,,8,8,,,5,5,,,12,12,,,16,,16,1,,8,,9,5,1,9,,15,72
Stafford,Eversource,,,10,10,1,,12,13,,,20,20,,,25,25,7,,43,,50,2,,38,,40,25,1,13,,39,197
Stamford,Eversource,11,1,19,31,2,,37,39,2,,68,70,4,1,47,52,30,1,153,,184,56,8,145,,209,189,12,110,3,314,899
Sterling,Eversource,,,3,3,,,4,4,,,7,7,,,7,7,,,7,,7,3,,15,,18,8,,8,,16,62
Stonington,Eversource,4,2,78,84,1,1,97,99,,1,107,108,1,,96,97,8,2,218,,228,23,7,213,,243,138,2,162,,302,"1,161"
Stratford,UI,,,,,,,19,19,,,40,40,,,48,48,2,,89,,91,6,,62,,68,115,,54,4,173,439
Suffield,Eversource,,1,22,23,,,32,32,,1,26,27,1,,35,36,18,5,52,,75,9,3,48,,60,33,4,34,,71,324
Thomaston,Eversource,,,2,2,,,3,3,,1,16,17,,,13,13,2,,14,,16,4,1,38,,43,24,,15,,39,133
Thompson,Eversource,,,18,18,,,21,21,,,23,23,4,,37,41,1,,31,,32,3,1,40,,44,24,1,26,,51,230
Tolland,Eversource,,,12,12,,,29,29,,1,35,36,,,58,58,7,1,85,,93,9,2,66,,77,52,4,48,,104,409
Torrington,Eversource,2,,24,26,1,,23,24,,,40,40,,,35,35,6,,102,,108,17,,87,,104,62,,80,2,144,481
Trumbull,UI,,,,,,,3,3,,,43,43,,,35,35,1,,88,,89,7,,77,,84,112,2,55,,169,423
Union,Eversource,,,3,3,,,3,3,,,2,2,,,4,4,,,4,,4,1,1,5,,7,5,,5,,10,33
Vernon,Eversource,,,20,20,,,24,24,,,41,41,2,1,39,42,2,,77,,79,5,,63,,68,31,4,41,,76,350
Voluntown,Eversource,,1,8,9,,,6,6,,,5,5,,,14,14,2,1,16,,19,,3,21,,24,12,,9,,21,98
Warren,Eversource,,,1,1,,,4,4,,,3,3,,,5,5,,,6,,6,6,2,17,,25,13,,11,,24,68
Washington,Eversource,,,3,3,,,5,5,,,14,14,,,21,21,1,1,29,,31,9,,40,,49,27,,26,,53,176
Waterbury,Eversource,,,22,22,,,18,18,1,,25,26,,,48,48,3,,65,,68,9,,125,,134,67,,91,8,166,482
Waterford,Eversource,,,56,56,1,1,59,61,2,,88,90,6,,68,74,5,5,147,,157,4,4,159,,167,85,5,167,,257,862
Watertown,Eversource,,,15,15,,,17,17,,,21,21,,1,30,31,6,,44,,50,6,,57,,63,58,2,56,,116,313
West Hartford,Eversource,,1,47,48,,,81,81,,,115,115,1,,128,129,11,,230,,241,31,,290,,321,193,14,161,,368,"1,303"
West Haven,UI,,,,,,,6,6,,,26,26,,,25,25,,,50,,50,4,1,42,,47,56,,33,,89,243
Westbrook,Eversource,1,,18,19,,,27,27,,,22,22,,,24,24,3,1,61,,65,11,2,43,,56,60,,44,,104,317
Weston,Eversource,,,6,6,2,,8,10,2,,15,17,,,29,29,,,37,,37,8,,49,,57,54,3,32,,89,245
Westport,Eversource,1,1,13,15,2,,26,28,,1,38,39,,1,50,51,11,6,94,,111,32,2,126,1,161,109,24,65,,198,603
Wethersfield,Eversource,,,17,17,,,20,20,,1,27,28,1,,37,38,6,,72,,78,5,,73,,78,66,,43,,109,368
Willington,Eversource,,,7,7,,,5,5,,,19,19,,1,20,21,3,2,28,,33,5,,20,,25,17,1,20,,38,148
Wilton,Eversource,1,,12,13,2,,13,15,,,22,22,2,1,15,18,12,4,71,,87,28,6,53,,87,86,14,47,,147,389
Winchester,Eversource,,,8,8,,,9,9,,,7,7,,,13,13,,,25,,25,2,,27,,29,26,2,29,,57,148
Windham,Eversource,,,14,14,,,20,20,,,29,29,,,31,31,1,,47,,48,3,,44,,47,34,,41,,75,264
Windsor,Eversource,,,14,14,,,23,23,,,32,32,,,36,36,2,1,67,,70,8,2,69,,79,51,,56,1,108,362
Windsor Locks,Eversource,,,5,5,,,7,7,1,,15,16,,,24,24,1,,22,,23,1,,17,,18,9,1,15,12,37,130
Wolcott,Eversource,,1,6,7,2,1,14,17,,,30,30,1,,22,23,5,,48,,53,11,,31,,42,34,,26,,60,232
Woodbridge,UI,,,,,,,6,6,,,13,13,,,13,13,,2,29,,31,6,1,37,,44,81,4,27,,112,219
Woodbury,Eversource,1,,11,12,3,,6,9,1,1,16,18,1,,22,23,4,2,29,,35,5,3,32,,40,54,2,19,,75,212
Woodstock,Eversource,,,24,24,1,,25,26,,,47,47,,2,50,52,,2,73,,75,2,,56,,58,37,3,37,,77,359
Grand Total,Total,91,31,"2,176","2,298",72,16,"3,119","3,207",42,23,"4,450","4,515",124,53,"5,168","5,345",615,160,"9,014",1,"9,790","1,510",281,"9,436",6,"11,233","8,503",414,"6,999",132,"16,048","52,436"
